Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
/home/zeus/miniconda3/envs/cloudspace/lib/python3.12/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.self_attn.batch_first was not True(use batch_first for better inference performance)
  warnings.warn(
Resumed weights from outputs/isbi2015_phase2/best_model.pt (missing=0, unexpected=0).
Checkpoint val_metrics: {'loss': 20.639675674438475, 'loss_hm': 0.3765456946690877, 'loss_re': 4.020073149998983, 'loss_fe': 16.243056818644206, 'mre_mm': 1.1324756036724961, 'mre_px': 11.324755843313117, 'sdr_2_0mm': 87.2280701754386, 'sdr_2_5mm': 92.42105263157895, 'sdr_3_0mm': 95.71929824561404, 'sdr_4_0mm': 98.17543859649123}
Epoch 21/128 | Train loss: 10.4459 (hm=0.3745, re=3.9430, fe=6.1283) | Val loss: 21.5557 (hm=0.3760, re=3.8720, fe=17.3077) | Val MRE(mm): 1.163 | SDR%(2/2.5/3/4): 85.9/91.8/95.4/98.2 | 93.7s
Epoch 22/128 | Train loss: 10.0188 (hm=0.3743, re=3.9590, fe=5.6856) | Val loss: 21.5653 (hm=0.3761, re=3.7954, fe=17.3939) | Val MRE(mm): 1.147 | SDR%(2/2.5/3/4): 86.6/92.1/95.6/98.2 | 93.7s
Epoch 23/128 | Train loss: 10.0163 (hm=0.3745, re=3.9585, fe=5.6833) | Val loss: 22.0589 (hm=0.3762, re=3.8259, fe=17.8567) | Val MRE(mm): 1.148 | SDR%(2/2.5/3/4): 86.1/91.9/95.3/98.3 | 93.8s
Epoch 24/128 | Train loss: 10.2817 (hm=0.3743, re=3.9712, fe=5.9362) | Val loss: 21.5302 (hm=0.3759, re=3.9904, fe=17.1640) | Val MRE(mm): 1.143 | SDR%(2/2.5/3/4): 86.5/92.2/95.6/98.2 | 93.7s
Epoch 25/128 | Train loss: 10.1940 (hm=0.3749, re=3.9629, fe=5.8562) | Val loss: 22.5860 (hm=0.3761, re=3.8862, fe=18.3237) | Val MRE(mm): 1.154 | SDR%(2/2.5/3/4): 85.8/91.7/95.4/98.2 | 93.9s
Epoch 26/128 | Train loss: 9.9316 (hm=0.3744, re=3.9523, fe=5.6048) | Val loss: 22.2489 (hm=0.3761, re=3.8566, fe=18.0161) | Val MRE(mm): 1.131 | SDR%(2/2.5/3/4): 86.5/92.1/95.7/98.2 | 93.8s
Epoch 27/128 | Train loss: 9.9983 (hm=0.3743, re=3.9313, fe=5.6928) | Val loss: 22.3010 (hm=0.3761, re=3.8859, fe=18.0390) | Val MRE(mm): 1.144 | SDR%(2/2.5/3/4): 85.8/92.0/95.6/98.2 | 93.8s
Epoch 28/128 | Train loss: 9.7990 (hm=0.3742, re=3.9151, fe=5.5098) | Val loss: 22.5957 (hm=0.3761, re=3.8095, fe=18.4101) | Val MRE(mm): 1.154 | SDR%(2/2.5/3/4): 85.7/92.0/95.6/98.2 | 93.8s
Epoch 29/128 | Train loss: 10.0534 (hm=0.3742, re=3.8894, fe=5.7898) | Val loss: 23.0006 (hm=0.3761, re=4.0216, fe=18.6029) | Val MRE(mm): 1.142 | SDR%(2/2.5/3/4): 86.4/92.2/95.5/98.2 | 93.9s
Epoch 30/128 | Train loss: 9.8076 (hm=0.3742, re=3.9153, fe=5.5182) | Val loss: 22.3222 (hm=0.3760, re=3.7933, fe=18.1528) | Val MRE(mm): 1.127 | SDR%(2/2.5/3/4): 86.8/92.1/95.7/98.2 | 93.7s
Epoch 31/128 | Train loss: 9.6350 (hm=0.3740, re=3.8786, fe=5.3824) | Val loss: 22.1943 (hm=0.3760, re=3.8361, fe=17.9822) | Val MRE(mm): 1.152 | SDR%(2/2.5/3/4): 86.2/91.8/95.4/98.4 | 93.9s
Epoch 32/128 | Train loss: 9.8263 (hm=0.3744, re=3.8784, fe=5.5736) | Val loss: 22.5295 (hm=0.3760, re=3.9279, fe=18.2255) | Val MRE(mm): 1.124 | SDR%(2/2.5/3/4): 87.1/92.5/96.1/98.4 | 93.8s
Epoch 33/128 | Train loss: 9.4897 (hm=0.3743, re=3.8428, fe=5.2727) | Val loss: 23.1455 (hm=0.3759, re=3.8015, fe=18.9680) | Val MRE(mm): 1.152 | SDR%(2/2.5/3/4): 86.2/92.0/95.8/98.2 | 93.7s
Epoch 34/128 | Train loss: 9.4934 (hm=0.3741, re=3.8617, fe=5.2576) | Val loss: 23.5626 (hm=0.3760, re=3.7526, fe=19.4341) | Val MRE(mm): 1.172 | SDR%(2/2.5/3/4): 85.9/91.7/95.6/98.1 | 93.7s
Epoch 35/128 | Train loss: 9.4910 (hm=0.3741, re=3.8697, fe=5.2472) | Val loss: 22.6314 (hm=0.3758, re=3.8049, fe=18.4508) | Val MRE(mm): 1.138 | SDR%(2/2.5/3/4): 86.5/92.6/95.7/98.3 | 93.9s
Epoch 36/128 | Train loss: 9.4211 (hm=0.3747, re=3.8578, fe=5.1886) | Val loss: 22.7966 (hm=0.3760, re=3.7837, fe=18.6369) | Val MRE(mm): 1.146 | SDR%(2/2.5/3/4): 86.2/92.1/95.6/98.3 | 93.9s
Epoch 37/128 | Train loss: 9.6675 (hm=0.3746, re=3.9106, fe=5.3823) | Val loss: 23.3806 (hm=0.3759, re=4.0680, fe=18.9368) | Val MRE(mm): 1.142 | SDR%(2/2.5/3/4): 86.5/92.2/95.7/98.2 | 93.9s
Epoch 38/128 | Train loss: 9.3956 (hm=0.3741, re=3.8529, fe=5.1686) | Val loss: 23.2231 (hm=0.3759, re=3.7748, fe=19.0724) | Val MRE(mm): 1.153 | SDR%(2/2.5/3/4): 86.4/91.7/95.4/98.2 | 94.0s
Epoch 39/128 | Train loss: 9.8198 (hm=0.3739, re=3.8636, fe=5.5822) | Val loss: 22.2903 (hm=0.3758, re=3.9053, fe=18.0092) | Val MRE(mm): 1.127 | SDR%(2/2.5/3/4): 86.9/92.1/95.6/98.2 | 93.8s
Epoch 40/128 | Train loss: 9.2453 (hm=0.3738, re=3.8513, fe=5.0202) | Val loss: 23.8797 (hm=0.3759, re=3.7800, fe=19.7238) | Val MRE(mm): 1.146 | SDR%(2/2.5/3/4): 86.6/92.3/95.8/98.2 | 93.8s
Epoch 41/128 | Train loss: 9.3289 (hm=0.3744, re=3.8094, fe=5.1451) | Val loss: 23.2451 (hm=0.3759, re=3.8493, fe=19.0199) | Val MRE(mm): 1.155 | SDR%(2/2.5/3/4): 85.9/91.7/95.3/98.2 | 93.9s
Epoch 42/128 | Train loss: 9.3466 (hm=0.3739, re=3.8675, fe=5.1051) | Val loss: 23.5532 (hm=0.3759, re=4.1253, fe=19.0519) | Val MRE(mm): 1.160 | SDR%(2/2.5/3/4): 86.1/91.7/95.5/98.2 | 93.8s
Epoch 43/128 | Train loss: 9.2548 (hm=0.3742, re=3.8298, fe=5.0509) | Val loss: 23.3598 (hm=0.3758, re=3.7748, fe=19.2092) | Val MRE(mm): 1.145 | SDR%(2/2.5/3/4): 86.3/91.9/95.6/98.3 | 93.8s
