/home/zeus/miniconda3/envs/cloudspace/lib/python3.12/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.self_attn.batch_first was not True(use batch_first for better inference performance)
  warnings.warn(
Epoch 23/200 | Train loss: 38.7544 (hm=0.3743, re=7.7862, fe=30.5938) | Val loss: 38.7861 (hm=0.3752, re=7.8013, fe=30.6096) | Val MRE(mm): 150.102 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 93.6s
Epoch 24/200 | Train loss: 38.6756 (hm=0.3738, re=7.7794, fe=30.5224) | Val loss: 38.6534 (hm=0.3763, re=7.7802, fe=30.4969) | Val MRE(mm): 146.220 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 93.7s
Epoch 25/200 | Train loss: 38.6382 (hm=0.3764, re=7.7817, fe=30.4801) | Val loss: 38.5795 (hm=0.3764, re=7.7988, fe=30.4043) | Val MRE(mm): 141.933 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 93.7s
Epoch 26/200 | Train loss: 38.5274 (hm=0.3740, re=7.7778, fe=30.3756) | Val loss: 38.4587 (hm=0.3747, re=7.7742, fe=30.3098) | Val MRE(mm): 137.601 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 93.6s
Epoch 27/200 | Train loss: 38.4313 (hm=0.3736, re=7.7712, fe=30.2865) | Val loss: 38.3589 (hm=0.3755, re=7.7906, fe=30.1928) | Val MRE(mm): 133.046 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 93.7s
Epoch 28/200 | Train loss: 38.3241 (hm=0.3738, re=7.7673, fe=30.1830) | Val loss: 38.3169 (hm=0.3758, re=7.7622, fe=30.1789) | Val MRE(mm): 128.069 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 93.6s
Epoch 29/200 | Train loss: 38.2265 (hm=0.3739, re=7.7597, fe=30.0929) | Val loss: 38.1163 (hm=0.3755, re=7.7592, fe=29.9816) | Val MRE(mm): 123.171 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 93.8s
Epoch 30/200 | Train loss: 38.0759 (hm=0.3736, re=7.7532, fe=29.9490) | Val loss: 38.0022 (hm=0.3749, re=7.7511, fe=29.8762) | Val MRE(mm): 116.889 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 93.7s
Epoch 31/200 | Train loss: 37.9408 (hm=0.3740, re=7.7475, fe=29.8193) | Val loss: 37.8493 (hm=0.3761, re=7.7437, fe=29.7295) | Val MRE(mm): 110.466 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 94.0s
Epoch 32/200 | Train loss: 37.7821 (hm=0.3744, re=7.7396, fe=29.6681) | Val loss: 37.6644 (hm=0.3752, re=7.7405, fe=29.5487) | Val MRE(mm): 104.219 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 94.0s
Epoch 33/200 | Train loss: 37.6309 (hm=0.3736, re=7.7330, fe=29.5243) | Val loss: 37.5146 (hm=0.3743, re=7.7295, fe=29.4108) | Val MRE(mm): 97.195 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 94.0s
Epoch 34/200 | Train loss: 37.3848 (hm=0.3735, re=7.7224, fe=29.2889) | Val loss: 37.4177 (hm=0.3750, re=7.7305, fe=29.3122) | Val MRE(mm): 90.218 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 94.0s
Epoch 35/200 | Train loss: 37.2168 (hm=0.3738, re=7.7132, fe=29.1299) | Val loss: 37.0928 (hm=0.3766, re=7.7156, fe=29.0006) | Val MRE(mm): 83.127 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 93.8s
