Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
/home/zeus/miniconda3/envs/cloudspace/lib/python3.12/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.self_attn.batch_first was not True(use batch_first for better inference performance)
  warnings.warn(
Epoch 23/150 | Train loss: 8.1294 (hm=0.3731, re=7.7563, fe=0.0000) | Val loss: 8.1258 (hm=0.3738, re=7.7520, fe=0.0000) | Val MRE(mm): 187.177 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.3s
Epoch 24/150 | Train loss: 8.1169 (hm=0.3726, re=7.7443, fe=0.0000) | Val loss: 8.1168 (hm=0.3745, re=7.7423, fe=0.0000) | Val MRE(mm): 185.344 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.3s
Epoch 25/150 | Train loss: 8.1131 (hm=0.3733, re=7.7398, fe=0.0000) | Val loss: 8.1350 (hm=0.3754, re=7.7596, fe=0.0000) | Val MRE(mm): 183.590 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.5s
Epoch 26/150 | Train loss: 8.1008 (hm=0.3725, re=7.7282, fe=0.0000) | Val loss: 8.0960 (hm=0.3744, re=7.7216, fe=0.0000) | Val MRE(mm): 181.794 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.2s
Epoch 27/150 | Train loss: 8.0879 (hm=0.3720, re=7.7158, fe=0.0000) | Val loss: 8.0830 (hm=0.3740, re=7.7090, fe=0.0000) | Val MRE(mm): 179.736 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.2s
Epoch 28/150 | Train loss: 8.0812 (hm=0.3721, re=7.7091, fe=0.0000) | Val loss: 8.1007 (hm=0.3739, re=7.7269, fe=0.0000) | Val MRE(mm): 177.945 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.2s
Epoch 29/150 | Train loss: 8.0703 (hm=0.3716, re=7.6987, fe=0.0000) | Val loss: 8.0657 (hm=0.3740, re=7.6917, fe=0.0000) | Val MRE(mm): 176.031 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.3s
Epoch 30/150 | Train loss: 8.0502 (hm=0.3718, re=7.6784, fe=0.0000) | Val loss: 8.0459 (hm=0.3736, re=7.6723, fe=0.0000) | Val MRE(mm): 173.614 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.2s
Epoch 31/150 | Train loss: 8.0371 (hm=0.3715, re=7.6656, fe=0.0000) | Val loss: 8.0333 (hm=0.3739, re=7.6595, fe=0.0000) | Val MRE(mm): 170.974 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.4s
Epoch 32/150 | Train loss: 8.0248 (hm=0.3715, re=7.6532, fe=0.0000) | Val loss: 8.0176 (hm=0.3743, re=7.6433, fe=0.0000) | Val MRE(mm): 168.523 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.3s
Epoch 33/150 | Train loss: 8.0075 (hm=0.3718, re=7.6357, fe=0.0000) | Val loss: 7.9991 (hm=0.3741, re=7.6250, fe=0.0000) | Val MRE(mm): 165.926 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.3s
Epoch 34/150 | Train loss: 7.9836 (hm=0.3720, re=7.6116, fe=0.0000) | Val loss: 7.9819 (hm=0.3735, re=7.6084, fe=0.0000) | Val MRE(mm): 163.321 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.2s
Epoch 35/150 | Train loss: 7.9660 (hm=0.3712, re=7.5948, fe=0.0000) | Val loss: 7.9601 (hm=0.3733, re=7.5868, fe=0.0000) | Val MRE(mm): 159.992 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.3s
Epoch 36/150 | Train loss: 7.9425 (hm=0.3715, re=7.5710, fe=0.0000) | Val loss: 7.9560 (hm=0.3723, re=7.5837, fe=0.0000) | Val MRE(mm): 157.208 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.2s
Epoch 37/150 | Train loss: 7.9303 (hm=0.3717, re=7.5586, fe=0.0000) | Val loss: 7.9326 (hm=0.3738, re=7.5588, fe=0.0000) | Val MRE(mm): 153.947 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.2s
Epoch 38/150 | Train loss: 7.9095 (hm=0.3713, re=7.5382, fe=0.0000) | Val loss: 7.8984 (hm=0.3731, re=7.5253, fe=0.0000) | Val MRE(mm): 150.856 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.5s
Epoch 39/150 | Train loss: 7.8865 (hm=0.3711, re=7.5154, fe=0.0000) | Val loss: 7.8658 (hm=0.3731, re=7.4927, fe=0.0000) | Val MRE(mm): 146.758 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.2s
Epoch 40/150 | Train loss: 7.8591 (hm=0.3711, re=7.4880, fe=0.0000) | Val loss: 7.8510 (hm=0.3725, re=7.4785, fe=0.0000) | Val MRE(mm): 143.475 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.2s
Epoch 41/150 | Train loss: 7.8318 (hm=0.3713, re=7.4605, fe=0.0000) | Val loss: 7.8167 (hm=0.3726, re=7.4441, fe=0.0000) | Val MRE(mm): 139.823 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.5s
