/home/zeus/miniconda3/envs/cloudspace/lib/python3.12/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.self_attn.batch_first was not True(use batch_first for better inference performance)
  warnings.warn(
Epoch 23/150 | Train loss: 15.8161 (hm=0.3731, re=7.7653, fe=7.6777) | Val loss: 15.8035 (hm=0.3770, re=7.7570, fe=7.6695) | Val MRE(mm): 172.642 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.2s
Epoch 24/150 | Train loss: 15.7781 (hm=0.3734, re=7.7496, fe=7.6551) | Val loss: 15.7710 (hm=0.3756, re=7.7515, fe=7.6438) | Val MRE(mm): 169.055 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.2s
Epoch 25/150 | Train loss: 15.7518 (hm=0.3724, re=7.7445, fe=7.6350) | Val loss: 15.7606 (hm=0.3735, re=7.7372, fe=7.6498) | Val MRE(mm): 166.149 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.3s
Epoch 26/150 | Train loss: 15.7195 (hm=0.3723, re=7.7292, fe=7.6179) | Val loss: 15.7249 (hm=0.3734, re=7.7321, fe=7.6194) | Val MRE(mm): 163.293 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.3s
Epoch 27/150 | Train loss: 15.7053 (hm=0.3719, re=7.7298, fe=7.6036) | Val loss: 15.6866 (hm=0.3733, re=7.7229, fe=7.5903) | Val MRE(mm): 159.936 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.3s
Epoch 28/150 | Train loss: 15.6610 (hm=0.3733, re=7.7141, fe=7.5736) | Val loss: 15.6517 (hm=0.3756, re=7.7174, fe=7.5587) | Val MRE(mm): 156.127 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.4s
Epoch 29/150 | Train loss: 15.6328 (hm=0.3746, re=7.7095, fe=7.5486) | Val loss: 15.6287 (hm=0.3753, re=7.7130, fe=7.5404) | Val MRE(mm): 152.288 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.2s
Epoch 30/150 | Train loss: 15.6038 (hm=0.3730, re=7.6967, fe=7.5340) | Val loss: 15.5706 (hm=0.3741, re=7.6911, fe=7.5054) | Val MRE(mm): 148.346 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.2s
Epoch 31/150 | Train loss: 15.5402 (hm=0.3720, re=7.6778, fe=7.4903) | Val loss: 15.5371 (hm=0.3740, re=7.6917, fe=7.4714) | Val MRE(mm): 143.637 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.5s
Epoch 32/150 | Train loss: 15.4919 (hm=0.3724, re=7.6650, fe=7.4544) | Val loss: 15.4724 (hm=0.3733, re=7.6640, fe=7.4351) | Val MRE(mm): 139.097 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.2s
Epoch 33/150 | Train loss: 15.4581 (hm=0.3717, re=7.6558, fe=7.4306) | Val loss: 15.4237 (hm=0.3737, re=7.6448, fe=7.4052) | Val MRE(mm): 134.451 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.2s
Epoch 34/150 | Train loss: 15.3881 (hm=0.3723, re=7.6364, fe=7.3795) | Val loss: 15.3550 (hm=0.3736, re=7.6280, fe=7.3534) | Val MRE(mm): 128.979 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.4s
Epoch 35/150 | Train loss: 15.3183 (hm=0.3725, re=7.6187, fe=7.3272) | Val loss: 15.2902 (hm=0.3738, re=7.6193, fe=7.2971) | Val MRE(mm): 122.883 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.2s
Epoch 36/150 | Train loss: 15.2441 (hm=0.3716, re=7.5997, fe=7.2728) | Val loss: 15.2328 (hm=0.3729, re=7.6089, fe=7.2510) | Val MRE(mm): 117.902 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.2s
Epoch 37/150 | Train loss: 15.1934 (hm=0.3711, re=7.5894, fe=7.2329) | Val loss: 15.1715 (hm=0.3747, re=7.5903, fe=7.2065) | Val MRE(mm): 111.615 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.3s
Epoch 38/150 | Train loss: 15.0861 (hm=0.3717, re=7.5614, fe=7.1531) | Val loss: 15.0506 (hm=0.3735, re=7.5547, fe=7.1223) | Val MRE(mm): 105.230 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.3s
Epoch 39/150 | Train loss: 15.0119 (hm=0.3710, re=7.5468, fe=7.0941) | Val loss: 14.9635 (hm=0.3739, re=7.5332, fe=7.0564) | Val MRE(mm): 99.331 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.2s
Epoch 40/150 | Train loss: 14.9133 (hm=0.3711, re=7.5244, fe=7.0178) | Val loss: 14.8599 (hm=0.3731, re=7.5145, fe=6.9724) | Val MRE(mm): 92.476 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 87.3s
Epoch 41/150 | Train loss: 14.8222 (hm=0.3710, re=7.5070, fe=6.9442) | Val loss: 14.7507 (hm=0.3726, re=7.5027, fe=6.8753) | Val MRE(mm): 85.743 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.1 | 87.3s
Epoch 42/150 | Train loss: 14.7145 (hm=0.3720, re=7.4795, fe=6.8630) | Val loss: 14.6781 (hm=0.3743, re=7.4742, fe=6.8296) | Val MRE(mm): 80.655 | SDR%(2/2.5/3/4): 0.3/0.4/0.5/0.9 | 87.2s
Epoch 43/150 | Train loss: 14.6436 (hm=0.3728, re=7.4580, fe=6.8128) | Val loss: 14.5998 (hm=0.3748, re=7.4518, fe=6.7732) | Val MRE(mm): 78.459 | SDR%(2/2.5/3/4): 0.2/0.4/0.6/0.9 | 87.3s
Epoch 44/150 | Train loss: 14.5390 (hm=0.3732, re=7.4306, fe=6.7352) | Val loss: 14.4985 (hm=0.3761, re=7.4205, fe=6.7019) | Val MRE(mm): 71.003 | SDR%(2/2.5/3/4): 0.4/0.6/0.8/1.3 | 87.1s
Epoch 45/150 | Train loss: 14.4911 (hm=0.3723, re=7.4173, fe=6.7015) | Val loss: 14.3924 (hm=0.3735, re=7.3986, fe=6.6203) | Val MRE(mm): 66.765 | SDR%(2/2.5/3/4): 0.3/0.6/0.7/1.5 | 87.3s
Epoch 46/150 | Train loss: 14.3999 (hm=0.3720, re=7.3846, fe=6.6432) | Val loss: 14.3067 (hm=0.3727, re=7.3683, fe=6.5657) | Val MRE(mm): 61.794 | SDR%(2/2.5/3/4): 0.6/0.7/1.1/1.9 | 87.5s
Epoch 47/150 | Train loss: 14.2747 (hm=0.3720, re=7.3573, fe=6.5454) | Val loss: 14.2748 (hm=0.3732, re=7.3513, fe=6.5503) | Val MRE(mm): 56.444 | SDR%(2/2.5/3/4): 0.9/1.1/1.4/1.9 | 87.3s
Epoch 48/150 | Train loss: 14.1652 (hm=0.3724, re=7.3258, fe=6.4670) | Val loss: 14.1015 (hm=0.3742, re=7.3039, fe=6.4234) | Val MRE(mm): 52.181 | SDR%(2/2.5/3/4): 0.4/0.6/0.8/1.5 | 87.2s
Epoch 49/150 | Train loss: 14.0023 (hm=0.3715, re=7.2851, fe=6.3456) | Val loss: 13.9327 (hm=0.3730, re=7.2648, fe=6.2950) | Val MRE(mm): 46.178 | SDR%(2/2.5/3/4): 0.1/0.2/0.2/0.6 | 87.5s
Epoch 50/150 | Train loss: 13.8733 (hm=0.3713, re=7.2395, fe=6.2625) | Val loss: 13.7705 (hm=0.3734, re=7.2185, fe=6.1787) | Val MRE(mm): 41.768 | SDR%(2/2.5/3/4): 0.2/0.3/0.5/1.1 | 87.2s
Epoch 51/150 | Train loss: 13.7340 (hm=0.3721, re=7.1955, fe=6.1664) | Val loss: 13.6940 (hm=0.3747, re=7.2392, fe=6.0801) | Val MRE(mm): 36.965 | SDR%(2/2.5/3/4): 0.5/0.8/1.2/2.0 | 87.2s
Epoch 52/150 | Train loss: 13.5838 (hm=0.3735, re=7.1578, fe=6.0525) | Val loss: 13.4644 (hm=0.3739, re=7.1299, fe=5.9606) | Val MRE(mm): 33.423 | SDR%(2/2.5/3/4): 0.5/0.7/1.3/2.0 | 87.4s
Epoch 53/150 | Train loss: 13.4228 (hm=0.3747, re=7.1101, fe=5.9379) | Val loss: 13.2949 (hm=0.3755, re=7.0798, fe=5.8396) | Val MRE(mm): 29.972 | SDR%(2/2.5/3/4): 0.2/0.4/0.5/0.9 | 87.2s
Epoch 54/150 | Train loss: 13.3178 (hm=0.3746, re=7.0558, fe=5.8874) | Val loss: 13.1464 (hm=0.3789, re=7.0254, fe=5.7420) | Val MRE(mm): 27.033 | SDR%(2/2.5/3/4): 0.4/0.7/1.1/2.0 | 87.2s
Epoch 55/150 | Train loss: 13.2069 (hm=0.3785, re=7.0108, fe=5.8177) | Val loss: 13.1320 (hm=0.3779, re=7.0504, fe=5.7037) | Val MRE(mm): 25.507 | SDR%(2/2.5/3/4): 0.7/1.2/1.5/2.8 | 87.3s
Epoch 56/150 | Train loss: 13.1334 (hm=0.3884, re=6.9546, fe=5.7904) | Val loss: 12.9192 (hm=0.3787, re=6.9396, fe=5.6009) | Val MRE(mm): 24.143 | SDR%(2/2.5/3/4): 0.7/1.5/2.0/3.6 | 87.2s
Epoch 57/150 | Train loss: 13.0067 (hm=0.3807, re=6.9012, fe=5.7248) | Val loss: 12.8963 (hm=0.3878, re=6.8783, fe=5.6303) | Val MRE(mm): 23.386 | SDR%(2/2.5/3/4): 0.9/1.4/2.0/4.0 | 87.2s
Epoch 58/150 | Train loss: 12.8914 (hm=0.3800, re=6.8637, fe=5.6477) | Val loss: 12.6474 (hm=0.3773, re=6.8094, fe=5.4607) | Val MRE(mm): 21.372 | SDR%(2/2.5/3/4): 1.5/2.6/3.5/6.0 | 87.3s
Epoch 59/150 | Train loss: 12.8770 (hm=0.3834, re=6.8040, fe=5.6895) | Val loss: 12.6900 (hm=0.3775, re=6.7719, fe=5.5406) | Val MRE(mm): 22.387 | SDR%(2/2.5/3/4): 1.1/1.7/2.1/3.9 | 87.1s
Epoch 60/150 | Train loss: 12.7394 (hm=0.3839, re=6.7966, fe=5.5588) | Val loss: 12.6102 (hm=0.3885, re=6.7597, fe=5.4620) | Val MRE(mm): 20.811 | SDR%(2/2.5/3/4): 1.6/2.4/2.9/5.4 | 87.6s
Epoch 61/150 | Train loss: 12.6460 (hm=0.3899, re=6.7388, fe=5.5174) | Val loss: 12.3770 (hm=0.3875, re=6.7016, fe=5.2879) | Val MRE(mm): 19.100 | SDR%(2/2.5/3/4): 1.8/2.9/4.5/8.0 | 87.2s
Epoch 62/150 | Train loss: 12.4902 (hm=0.3870, re=6.7029, fe=5.4003) | Val loss: 12.4551 (hm=0.3866, re=6.6592, fe=5.4093) | Val MRE(mm): 19.306 | SDR%(2/2.5/3/4): 1.4/2.4/3.6/6.4 | 87.3s
Epoch 63/150 | Train loss: 12.4249 (hm=0.3862, re=6.6680, fe=5.3707) | Val loss: 12.0470 (hm=0.3814, re=6.6156, fe=5.0500) | Val MRE(mm): 15.282 | SDR%(2/2.5/3/4): 3.9/6.0/8.4/13.4 | 87.4s
Epoch 64/150 | Train loss: 12.4112 (hm=0.3869, re=6.6312, fe=5.3931) | Val loss: 12.1864 (hm=0.3820, re=6.5730, fe=5.2314) | Val MRE(mm): 16.863 | SDR%(2/2.5/3/4): 2.2/3.4/4.7/7.8 | 87.2s
Epoch 65/150 | Train loss: 12.2789 (hm=0.3876, re=6.5993, fe=5.2920) | Val loss: 12.1753 (hm=0.3806, re=6.5483, fe=5.2463) | Val MRE(mm): 15.463 | SDR%(2/2.5/3/4): 2.2/3.4/5.1/8.1 | 87.3s
Epoch 66/150 | Train loss: 12.0734 (hm=0.3884, re=6.5574, fe=5.1276) | Val loss: 11.8388 (hm=0.3841, re=6.5168, fe=4.9380) | Val MRE(mm): 12.786 | SDR%(2/2.5/3/4): 4.6/7.0/9.2/14.9 | 87.2s
Epoch 67/150 | Train loss: 11.9164 (hm=0.3874, re=6.5093, fe=5.0196) | Val loss: 11.6900 (hm=0.3901, re=6.4612, fe=4.8387) | Val MRE(mm): 11.782 | SDR%(2/2.5/3/4): 4.5/6.6/9.6/16.1 | 87.3s
Epoch 68/150 | Train loss: 11.9126 (hm=0.3888, re=6.4882, fe=5.0356) | Val loss: 11.4790 (hm=0.3839, re=6.4293, fe=4.6658) | Val MRE(mm): 10.442 | SDR%(2/2.5/3/4): 8.5/12.7/17.3/27.5 | 87.3s
Epoch 69/150 | Train loss: 11.8230 (hm=0.3902, re=6.4481, fe=4.9847) | Val loss: 11.8233 (hm=0.3854, re=6.3664, fe=5.0714) | Val MRE(mm): 13.760 | SDR%(2/2.5/3/4): 2.4/3.3/5.0/8.6 | 87.2s
Epoch 70/150 | Train loss: 11.8279 (hm=0.3919, re=6.3951, fe=5.0408) | Val loss: 11.7027 (hm=0.4005, re=6.3602, fe=4.9420) | Val MRE(mm): 11.906 | SDR%(2/2.5/3/4): 2.4/3.6/5.3/10.0 | 87.1s
Epoch 71/150 | Train loss: 11.5690 (hm=0.3912, re=6.3457, fe=4.8320) | Val loss: 11.6643 (hm=0.3934, re=6.2842, fe=4.9867) | Val MRE(mm): 11.566 | SDR%(2/2.5/3/4): 2.9/5.0/7.1/12.6 | 87.2s
Epoch 72/150 | Train loss: 11.5693 (hm=0.4067, re=6.3104, fe=4.8522) | Val loss: 11.2478 (hm=0.4014, re=6.2626, fe=4.5838) | Val MRE(mm): 9.273 | SDR%(2/2.5/3/4): 6.8/10.7/14.7/24.5 | 87.2s
Epoch 73/150 | Train loss: 11.3862 (hm=0.3933, re=6.2671, fe=4.7259) | Val loss: 11.1488 (hm=0.3991, re=6.2191, fe=4.5306) | Val MRE(mm): 8.961 | SDR%(2/2.5/3/4): 9.2/14.1/19.0/31.2 | 87.3s
Epoch 74/150 | Train loss: 11.6429 (hm=0.3975, re=6.2479, fe=4.9975) | Val loss: 11.1807 (hm=0.4014, re=6.2342, fe=4.5451) | Val MRE(mm): 8.515 | SDR%(2/2.5/3/4): 12.5/18.9/25.5/38.4 | 87.4s
Epoch 75/150 | Train loss: 11.3778 (hm=0.3930, re=6.2226, fe=4.7622) | Val loss: 11.0081 (hm=0.3916, re=6.1296, fe=4.4869) | Val MRE(mm): 8.513 | SDR%(2/2.5/3/4): 8.6/13.1/18.5/31.1 | 87.3s
Epoch 76/150 | Train loss: 11.2619 (hm=0.3927, re=6.1725, fe=4.6967) | Val loss: 10.8992 (hm=0.3898, re=6.0911, fe=4.4183) | Val MRE(mm): 8.191 | SDR%(2/2.5/3/4): 11.1/17.5/23.3/35.9 | 87.3s
Epoch 77/150 | Train loss: 11.1021 (hm=0.3912, re=6.0965, fe=4.6144) | Val loss: 10.8668 (hm=0.3856, re=6.0175, fe=4.4637) | Val MRE(mm): 8.282 | SDR%(2/2.5/3/4): 9.2/14.0/19.3/32.0 | 87.3s
Epoch 78/150 | Train loss: 11.0880 (hm=0.3915, re=6.0460, fe=4.6505) | Val loss: 11.2973 (hm=0.3930, re=6.0175, fe=4.8868) | Val MRE(mm): 10.460 | SDR%(2/2.5/3/4): 2.4/4.4/6.5/11.5 | 87.3s
Epoch 79/150 | Train loss: 10.9538 (hm=0.3920, re=6.0066, fe=4.5551) | Val loss: 10.6708 (hm=0.3926, re=5.9882, fe=4.2901) | Val MRE(mm): 7.571 | SDR%(2/2.5/3/4): 16.9/24.5/32.9/48.9 | 87.3s
Epoch 80/150 | Train loss: 10.8950 (hm=0.3909, re=6.0060, fe=4.4981) | Val loss: 10.6361 (hm=0.3903, re=5.9416, fe=4.3043) | Val MRE(mm): 7.375 | SDR%(2/2.5/3/4): 14.7/22.6/29.7/45.9 | 87.3s
Epoch 81/150 | Train loss: 10.9255 (hm=0.3909, re=5.9882, fe=4.5464) | Val loss: 10.5904 (hm=0.3939, re=5.8874, fe=4.3090) | Val MRE(mm): 7.514 | SDR%(2/2.5/3/4): 12.8/19.5/27.0/41.9 | 87.3s
Epoch 82/150 | Train loss: 10.8342 (hm=0.3982, re=5.9551, fe=4.4808) | Val loss: 10.6455 (hm=0.3921, re=5.8437, fe=4.4098) | Val MRE(mm): 7.743 | SDR%(2/2.5/3/4): 12.3/17.8/23.8/36.0 | 87.4s
Epoch 83/150 | Train loss: 10.9631 (hm=0.3959, re=5.9422, fe=4.6250) | Val loss: 11.1592 (hm=0.3944, re=5.8816, fe=4.8832) | Val MRE(mm): 9.659 | SDR%(2/2.5/3/4): 2.8/4.2/7.1/14.4 | 87.4s
Epoch 84/150 | Train loss: 10.8008 (hm=0.4024, re=5.8738, fe=4.5246) | Val loss: 10.4961 (hm=0.3931, re=5.8052, fe=4.2977) | Val MRE(mm): 7.597 | SDR%(2/2.5/3/4): 16.5/24.2/31.6/47.1 | 87.4s
Epoch 85/150 | Train loss: 10.8553 (hm=0.4007, re=5.8815, fe=4.5731) | Val loss: 10.2587 (hm=0.3983, re=5.6919, fe=4.1685) | Val MRE(mm): 6.348 | SDR%(2/2.5/3/4): 17.3/24.6/32.8/49.0 | 87.3s
Epoch 86/150 | Train loss: 10.6571 (hm=0.3989, re=5.7963, fe=4.4620) | Val loss: 10.3994 (hm=0.3947, re=5.6378, fe=4.3669) | Val MRE(mm): 7.431 | SDR%(2/2.5/3/4): 13.8/20.2/26.8/40.5 | 87.4s
Epoch 87/150 | Train loss: 10.5211 (hm=0.3947, re=5.7617, fe=4.3647) | Val loss: 10.1545 (hm=0.3880, re=5.6166, fe=4.1499) | Val MRE(mm): 5.880 | SDR%(2/2.5/3/4): 16.0/24.4/33.5/50.7 | 87.4s
Epoch 88/150 | Train loss: 10.5216 (hm=0.3960, re=5.7501, fe=4.3756) | Val loss: 10.0186 (hm=0.3895, re=5.6427, fe=3.9865) | Val MRE(mm): 5.609 | SDR%(2/2.5/3/4): 24.1/34.0/44.2/62.1 | 87.2s
Epoch 89/150 | Train loss: 10.4235 (hm=0.3926, re=5.7098, fe=4.3211) | Val loss: 10.0196 (hm=0.3865, re=5.5533, fe=4.0798) | Val MRE(mm): 5.809 | SDR%(2/2.5/3/4): 21.6/31.3/40.0/55.7 | 87.2s
Epoch 90/150 | Train loss: 10.3031 (hm=0.3896, re=5.6664, fe=4.2472) | Val loss: 9.9413 (hm=0.3870, re=5.5602, fe=3.9941) | Val MRE(mm): 5.206 | SDR%(2/2.5/3/4): 22.2/30.9/41.2/57.5 | 87.1s
Epoch 91/150 | Train loss: 10.1873 (hm=0.3906, re=5.5974, fe=4.1992) | Val loss: 9.7483 (hm=0.3898, re=5.4619, fe=3.8966) | Val MRE(mm): 4.628 | SDR%(2/2.5/3/4): 25.9/37.3/48.5/66.3 | 87.3s
